"approval_of_congress_binary","trust_clean","trust_numeric","trust_binary","big_interests_clean","big_interests_numeric","waste_clean","waste_numeric","income_clean","income_category","race_clean","education_clean","education_category","ideology_clean","ideology_numeric","congress_approval_clean","congress_approval_numeric","age_clean","sex_clean","marital_clean","marital_simple","economy_clean","economy_numeric","elections_responsive_clean","elections_responsive_numeric","social_trust_clean","social_trust_numeric","congress_binary_clean","congress_binary_numeric","party_clean","party_numeric","state_clean"
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,28,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove strongly",4,58,"Male","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,25
2,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,27,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove strongly",4,59,"Male","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,33
2,"About half the time",3,NA,"For benefit of all",2,"Waste some",2,20,"$50,000-$99,999","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove strongly",4,66,"Female","Married: spouse present","Married","Somewhat better",2,"Some",2,"Most of the time",2,"Disapprove",2,"Not very strong Democrat",2,32
1,"Never",5,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","Hispanic",13,"Bachelor's degree","Conservative",6,"Approve not strongly",2,35,"Male","Separated","Previously married","Much worse",5,"Some",2,"About half the time",3,"Approve",1,"Strong Republican",7,NA
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",14,"Graduate degree",NA,NA,"Disapprove strongly",4,28,"Male","Separated","Previously married","About the same",3,"Some",2,"About half the time",3,"Disapprove",2,"Independent-Democrat",3,36
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,15,"$50,000-$99,999","White, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove not strongly",3,77,"Male","Married: spouse present","Married","Somewhat better",2,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,13
1,"Most of the time",2,1,"For benefit of all",2,"Waste a lot",1,NA,NA,"White, non-Hispanic",9,"High school graduate","Conservative",6,"Approve not strongly",2,76,"Female","Married: spouse absent","Married","Much worse",5,"A good deal",1,"Most of the time",2,"Approve",1,"Strong Republican",7,37
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,25,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly conservative",5,"Disapprove strongly",4,54,"Male","Married: spouse present","Married","Somewhat worse",4,"Not much",3,"About half the time",3,"Disapprove",2,"Not very strong Republican",6,51
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,25,"$100,000+","White, non-Hispanic",15,"Graduate degree","Slightly conservative",5,"Disapprove strongly",4,70,"Male","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Republican",5,36
2,"Never",5,0,"For benefit of all",2,"Waste a lot",1,5,"Under $25,000","Hispanic",9,"High school graduate",NA,NA,"Disapprove not strongly",3,45,"Male","Married: spouse present","Married","Somewhat better",2,"Some",2,"Never",5,"Disapprove",2,"Not very strong Democrat",2,4
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","White, non-Hispanic",9,"High school graduate","Moderate",4,"Disapprove strongly",4,49,"Male","Widowed","Previously married","Much worse",5,"Not much",3,"Most of the time",2,"Disapprove",2,"Independent-Republican",5,NA
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,9,"$25,000-$49,999","White, non-Hispanic",14,"Graduate degree","Liberal",2,"Disapprove strongly",4,50,"Female","Separated","Previously married","Somewhat better",2,"A good deal",1,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,16
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Conservative",6,"Disapprove strongly",4,70,"Male","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Republican",7,55
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","White, non-Hispanic",15,"Graduate degree","Slightly liberal",3,"Disapprove not strongly",3,64,"Female","Widowed","Previously married","Somewhat better",2,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,36
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,28,"$100,000+","Black, non-Hispanic",12,"Some college/Associate",NA,NA,"Disapprove not strongly",3,75,"Female","Married: spouse present","Married","About the same",3,"Some",2,"About half the time",3,"Disapprove",2,"Not very strong Democrat",2,17
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",15,"Graduate degree","Liberal",2,"Disapprove not strongly",3,32,"Female","Separated","Previously married","Somewhat better",2,"A good deal",1,"Most of the time",2,"Disapprove",2,"Not very strong Democrat",2,39
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,13,"$25,000-$49,999","White, non-Hispanic",14,"Graduate degree","Extremely liberal",1,"Disapprove strongly",4,77,"Female","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,5
1,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Conservative",6,"Approve not strongly",2,78,"Male","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Most of the time",2,"Approve",1,"Not very strong Republican",6,13
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Conservative",6,"Disapprove strongly",4,41,"Female","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Republican",7,48
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","White, non-Hispanic",14,"Graduate degree","Extremely conservative",7,"Disapprove strongly",4,52,"Male","Widowed","Previously married","Much worse",5,"Not much",3,"Some of the time",4,"Disapprove",2,"Strong Republican",7,35
1,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Conservative",6,"Approve strongly",1,57,"Female","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,"Approve",1,"Strong Republican",7,20
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","White, non-Hispanic",8,"Less than high school","Conservative",6,"Disapprove strongly",4,NA,"Male","Married: spouse present","Married","Somewhat worse",4,"Some",2,"About half the time",3,"Disapprove",2,"Strong Republican",7,29
2,"Never",5,0,"Run by big interests",1,"Waste some",2,28,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove not strongly",3,42,"Male","Married: spouse present","Married","Somewhat better",2,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,27
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","Asian/Pacific Islander, non-Hispanic",13,"Bachelor's degree",NA,NA,"Disapprove not strongly",3,46,"Female","Separated","Previously married","Somewhat better",2,"A good deal",1,"Most of the time",2,"Disapprove",2,"Strong Republican",7,6
1,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,26,"$100,000+","White, non-Hispanic",14,"Graduate degree","Slightly conservative",5,"Approve not strongly",2,74,"Male","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,"Approve",1,"Independent-Democrat",3,29
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,NA,NA,"Black, non-Hispanic",14,"Graduate degree","Moderate",4,"Disapprove strongly",4,NA,"Female","Separated","Previously married","Much better",1,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,51
2,"About half the time",3,NA,"For benefit of all",2,"Don't waste very much",3,1,"Under $25,000","Multiple races, non-Hispanic",9,"High school graduate","Extremely liberal",1,"Disapprove strongly",4,66,"Male","Separated","Previously married","Somewhat worse",4,"Not much",3,"Some of the time",4,"Disapprove",2,"Independent-Democrat",3,21
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,NA,NA,"White, non-Hispanic",12,"Some college/Associate",NA,NA,"Disapprove strongly",4,NA,"Female","Married: spouse present","Married","Much worse",5,"Not much",3,"About half the time",3,"Disapprove",2,"Independent-Republican",5,42
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,16,"$50,000-$99,999","White, non-Hispanic",14,"Graduate degree","Slightly liberal",3,"Disapprove strongly",4,69,"Female","Widowed","Previously married","About the same",3,"Some",2,"About half the time",3,"Disapprove",2,"Strong Democrat",1,13
2,"About half the time",3,NA,"For benefit of all",2,"Waste some",2,27,"$100,000+","White, non-Hispanic",14,"Graduate degree","Moderate",4,"Disapprove strongly",4,50,"Male","Separated","Previously married","Somewhat worse",4,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,36
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","White, non-Hispanic",9,"High school graduate","Slightly liberal",3,"Disapprove not strongly",3,52,"Male","Married: spouse present","Married","Somewhat worse",4,"Not much",3,"About half the time",3,"Disapprove",2,"Independent-Republican",5,39
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,22,"$50,000-$99,999","White, non-Hispanic",9,"High school graduate","Extremely conservative",7,"Disapprove strongly",4,59,"Male","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,"Disapprove",2,"Independent-Republican",5,48
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",14,"Graduate degree","Moderate",4,"Disapprove not strongly",3,42,"Female","Married: spouse present","Married","About the same",3,"Not much",3,"Some of the time",4,"Disapprove",2,"Not very strong Democrat",2,30
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,27,"$100,000+","White, non-Hispanic",16,"Graduate degree","Extremely liberal",1,"Disapprove strongly",4,NA,"Male","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,47
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,14,"$25,000-$49,999","White, non-Hispanic",14,"Graduate degree","Liberal",2,"Disapprove strongly",4,41,"Female","Married: spouse present","Married","About the same",3,"Some",2,"Some of the time",4,"Disapprove",2,"Strong Democrat",1,22
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,28,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove strongly",4,42,"Male","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,34
1,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,17,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate","Slightly conservative",5,"Approve not strongly",2,50,"Male","Widowed","Previously married","Somewhat better",2,"Some",2,"About half the time",3,"Approve",1,"Not very strong Democrat",2,6
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,23,"$100,000+","White, non-Hispanic",14,"Graduate degree","Extremely liberal",1,"Disapprove strongly",4,80,"Female","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,6
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,27,"$100,000+","White, non-Hispanic",16,"Graduate degree","Extremely liberal",1,"Disapprove not strongly",3,43,"Female","Married: spouse present","Married","Somewhat better",2,"A good deal",1,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,8
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,19,"$50,000-$99,999","Black, non-Hispanic",15,"Graduate degree","Moderate",4,"Disapprove not strongly",3,37,"Female","Separated","Previously married","Much worse",5,"Not much",3,"Most of the time",2,"Disapprove",2,"Not very strong Democrat",2,17
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,20,"$50,000-$99,999","White, non-Hispanic",11,"Some college/Associate","Moderate",4,"Disapprove strongly",4,65,"Female","Married: spouse absent","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Not very strong Democrat",2,27
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,15,"$50,000-$99,999","White, non-Hispanic",9,"High school graduate","Liberal",2,"Disapprove strongly",4,64,"Female","Widowed","Previously married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,42
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,1,"Under $25,000","White, non-Hispanic",10,"Some college/Associate",NA,NA,"Disapprove strongly",4,43,"Male","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Republican",7,42
2,"Never",5,0,"Run by big interests",1,"Waste some",2,24,"$100,000+","Black, non-Hispanic",13,"Bachelor's degree",NA,NA,"Disapprove strongly",4,25,"Male","Separated","Previously married","About the same",3,"Some",2,"Some of the time",4,"Disapprove",2,"Independent",4,NA
1,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",14,"Graduate degree","Liberal",2,"Approve not strongly",2,80,"Male","Married: spouse present","Married","About the same",3,"A good deal",1,"Most of the time",2,"Approve",1,"Strong Democrat",1,42
2,"Some of the time",4,0,"For benefit of all",2,"Waste a lot",1,13,"$25,000-$49,999","White, non-Hispanic",11,"Some college/Associate","Slightly conservative",5,"Disapprove strongly",4,74,"Male","Married: spouse present","Married","Much worse",5,"A good deal",1,"Some of the time",4,"Disapprove",2,"Independent-Republican",5,NA
1,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,28,"$100,000+","Hispanic",9,"High school graduate",NA,NA,"Approve not strongly",2,74,"Female","Married: spouse absent","Married","About the same",3,"Some",2,"About half the time",3,"Approve",1,"Strong Democrat",1,48
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,24,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Disapprove strongly",4,76,"Male","Married: spouse present","Married","About the same",3,"Not much",3,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,40
2,"Most of the time",2,1,"Run by big interests",1,"Waste a lot",1,18,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate","Extremely conservative",7,"Disapprove strongly",4,NA,"Female","Married: spouse present","Married","Somewhat worse",4,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Republican",7,4
1,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,17,"$50,000-$99,999","White, non-Hispanic",13,"Bachelor's degree","Moderate",4,"Approve not strongly",2,47,"Female","Widowed","Previously married","Somewhat worse",4,"Some",2,"About half the time",3,"Approve",1,"Not very strong Democrat",2,10
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,7,"Under $25,000","Black, non-Hispanic",10,"Some college/Associate","Extremely liberal",1,"Disapprove not strongly",3,49,"Female","Separated","Previously married","Much worse",5,"Some",2,"Some of the time",4,"Disapprove",2,"Not very strong Democrat",2,11
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,48,"Female","Married: spouse present","Married","Somewhat worse",4,"Some",2,"About half the time",3,"Disapprove",2,"Independent-Democrat",3,18
1,"Most of the time",2,1,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","Hispanic",11,"Some college/Associate","Moderate",4,"Approve strongly",1,54,"Female","Separated","Previously married","Much worse",5,"A good deal",1,"Some of the time",4,"Approve",1,"Strong Democrat",1,32
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",14,"Graduate degree","Moderate",4,"Disapprove not strongly",3,40,"Female","Widowed","Previously married","Much worse",5,"Some",2,"About half the time",3,"Disapprove",2,"Independent-Democrat",3,12
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,25,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly liberal",3,"Disapprove not strongly",3,37,"Female","Married: spouse present","Married","About the same",3,"Some",2,"About half the time",3,"Disapprove",2,"Independent-Democrat",3,54
2,"About half the time",3,NA,"Run by big interests",1,"Waste some",2,22,"$50,000-$99,999","White, non-Hispanic",9,"High school graduate",NA,NA,"Disapprove not strongly",3,59,"Female","Married: spouse present","Married","About the same",3,"Not much",3,"About half the time",3,"Disapprove",2,"Strong Republican",7,25
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,28,"$100,000+","White, non-Hispanic",13,"Bachelor's degree","Slightly conservative",5,"Disapprove not strongly",3,32,"Female","Married: spouse present","Married","Somewhat worse",4,"Not much",3,"Most of the time",2,"Disapprove",2,"Not very strong Republican",6,39
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,28,"$100,000+","White, non-Hispanic",14,"Graduate degree","Slightly conservative",5,"Disapprove strongly",4,38,"Female","Separated","Previously married","Much worse",5,"Some",2,"About half the time",3,"Disapprove",2,"Not very strong Republican",6,51
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","White, non-Hispanic",16,"Graduate degree","Conservative",6,"Disapprove strongly",4,28,"Female","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Not very strong Republican",6,4
2,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,12,"$25,000-$49,999","White, non-Hispanic",9,"High school graduate","Slightly liberal",3,"Disapprove not strongly",3,79,"Male","Married: spouse absent","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Not very strong Democrat",2,39
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,11,"$25,000-$49,999","White, non-Hispanic",13,"Bachelor's degree","Slightly conservative",5,"Disapprove strongly",4,65,"Male","Married: spouse present","Married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Republican",5,26
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,15,"$50,000-$99,999","White, non-Hispanic",14,"Graduate degree","Extremely conservative",7,"Disapprove strongly",4,80,"Female","Married: spouse absent","Married","Much worse",5,"Some",2,"About half the time",3,"Disapprove",2,"Strong Republican",7,48
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,21,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate","Moderate",4,"Disapprove strongly",4,62,"Male","Married: spouse present","Married","Somewhat better",2,"Some",2,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,25
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,24,"$100,000+","Hispanic",11,"Some college/Associate","Slightly liberal",3,"Disapprove strongly",4,54,"Female","Separated","Previously married","About the same",3,"Some",2,"Most of the time",2,"Disapprove",2,"Not very strong Democrat",2,13
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,12,"$25,000-$49,999","White, non-Hispanic",13,"Bachelor's degree","Liberal",2,"Disapprove strongly",4,80,"Female","Married: spouse absent","Married","About the same",3,"A good deal",1,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,45
2,NA,NA,NA,"Run by big interests",1,"Waste a lot",1,14,"$25,000-$49,999","White, non-Hispanic",10,"Some college/Associate",NA,NA,"Disapprove not strongly",3,80,"Female","Married: spouse absent","Married","Somewhat worse",4,"Not much",3,"Most of the time",2,"Disapprove",2,"Independent-Democrat",3,53
1,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,25,"$100,000+","White, non-Hispanic",14,"Graduate degree","Extremely liberal",1,"Approve strongly",1,49,"Female","Widowed","Previously married","Somewhat better",2,"Some",2,"Some of the time",4,"Approve",1,"Strong Democrat",1,6
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,23,"$100,000+","White, non-Hispanic",11,"Some college/Associate","Conservative",6,"Disapprove strongly",4,41,"Female","Married: spouse present","Married","Much worse",5,"Some",2,"Most of the time",2,"Disapprove",2,"Strong Republican",7,16
2,"Never",5,0,"Run by big interests",1,"Waste a lot",1,26,"$100,000+","White, non-Hispanic",12,"Some college/Associate","Conservative",6,"Disapprove strongly",4,40,"Male","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,"Disapprove",2,"Not very strong Republican",6,18
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,NA,NA,"White, non-Hispanic",9,"High school graduate",NA,NA,"Disapprove strongly",4,NA,"Female","Separated","Previously married","Much worse",5,"A good deal",1,"About half the time",3,"Disapprove",2,"Strong Republican",7,24
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,25,"$100,000+",NA,12,"Some college/Associate","Conservative",6,"Disapprove strongly",4,70,"Male","Married: spouse present","Married","About the same",3,"Not much",3,"Some of the time",4,"Disapprove",2,"Independent-Republican",5,20
-9,"Some of the time",4,0,"Run by big interests",1,"Waste some",2,18,"$50,000-$99,999","White, non-Hispanic",10,"Some college/Associate",NA,NA,NA,NA,64,"Female","Married: spouse present","Married","Somewhat worse",4,"Not much",3,"Some of the time",4,NA,NA,"Not very strong Democrat",2,42
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","Asian/Pacific Islander, non-Hispanic",16,"Graduate degree","Slightly conservative",5,"Disapprove strongly",4,80,"Male","Married: spouse present","Married","Much worse",5,"Not much",3,"Some of the time",4,"Disapprove",2,"Strong Republican",7,6
1,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,12,"$25,000-$49,999","White, non-Hispanic",10,"Some college/Associate","Slightly conservative",5,"Approve strongly",1,76,"Male","Widowed","Previously married","Much worse",5,"Not much",3,"Some of the time",4,"Approve",1,"Strong Republican",7,39
1,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,17,"$50,000-$99,999","White, non-Hispanic",14,"Graduate degree","Slightly liberal",3,"Approve strongly",1,61,"Male","Separated","Previously married","About the same",3,"Not much",3,"Most of the time",2,"Approve",1,"Not very strong Republican",6,17
2,"Most of the time",2,1,"For benefit of all",2,"Waste some",2,27,"$100,000+","Hispanic",14,"Graduate degree","Moderate",4,"Disapprove strongly",4,40,"Female","Married: spouse present","Married","Much worse",5,"Some",2,"Some of the time",4,"Disapprove",2,"Strong Republican",7,25
2,"Most of the time",2,1,"Run by big interests",1,"Waste some",2,20,"$50,000-$99,999","Black, non-Hispanic",11,"Some college/Associate","Moderate",4,"Disapprove strongly",4,65,"Female","Married: spouse present","Married","Much better",1,"A good deal",1,"Most of the time",2,"Disapprove",2,"Strong Democrat",1,37
2,"Some of the time",4,0,"Run by big interests",1,"Waste a lot",1,27,"$100,000+","White, non-Hispanic",14,"Graduate degree","Conservative",6,"Disapprove strongly",4,62,"Male","Married: spouse present","Married","Much worse",5,"Some",2,"About half the time",3,"Disapprove",2,"Strong Republican",7,36
2,"About half the time",3,NA,"Run by big interests",1,"Waste a lot",1,7,"Under $25,000","Black, non-Hispanic",10,"Some college/Associate","Liberal",2,"Disapprove strongly",4,34,"Male","Separated","Previously married","Somewhat worse",4,"Some",2,"Some of the time",4,"Disapprove",2,"Independent-Democrat",3,42
